14:22:50.078205,0.30912,0.04252,0.95007,-0.00633,0.99907,-0.04265,-0.95100,0.00717,0.30910
14:22:50.097988,0.30192,0.06167,0.95134,-0.03240,0.99799,-0.05441,-0.95278,-0.01439,0.30331
14:22:50.117760,0.30313,0.05794,0.95119,-0.01878,0.99832,-0.05482,-0.95277,-0.00125,0.30371
14:22:50.137547,0.30353,0.06003,0.95093,-0.01954,0.99820,-0.05677,-0.95262,-0.00135,0.30415
14:22:50.157326,0.30363,0.06352,0.95067,-0.02430,0.99797,-0.05892,-0.95248,-0.00521,0.30455
14:22:50.177097,0.30354,0.06872,0.95034,-0.03461,0.99753,-0.06108,-0.95219,-0.01435,0.30517
14:22:50.199436,0.30383,0.06924,0.95021,-0.03540,0.99749,-0.06137,-0.95207,-0.01499,0.30551
14:22:50.219212,0.30352,0.06901,0.95032,-0.03589,0.99749,-0.06098,-0.95215,-0.01560,0.30523
14:22:50.238979,0.30249,0.06825,0.95071,-0.03577,0.99754,-0.06023,-0.95248,-0.01579,0.30419
14:22:50.258747,0.30114,0.06756,0.95118,-0.03513,0.99760,-0.05973,-0.95293,-0.01543,0.30279
14:22:50.278500,0.30028,0.06749,0.95146,-0.03619,0.99758,-0.05934,-0.95316,-0.01662,0.30200
14:22:50.298256,0.29978,0.06801,0.95158,-0.03865,0.99750,-0.05912,-0.95322,-0.01906,0.30166
14:22:50.318493,0.29967,0.06839,0.95159,-0.04060,0.99744,-0.05889,-0.95318,-0.02099,0.30168
14:22:50.338257,0.30027,0.06848,0.95139,-0.04093,0.99743,-0.05887,-0.95298,-0.02126,0.30230
14:22:50.358006,0.30108,0.06821,0.95116,-0.03876,0.99749,-0.05926,-0.95281,-0.01903,0.30297
14:22:50.377773,0.30197,0.06848,0.95086,-0.03599,0.99752,-0.06041,-0.95264,-0.01598,0.30369
14:22:50.397533,0.30314,0.06995,0.95038,-0.03339,0.99747,-0.06276,-0.95236,-0.01271,0.30471
14:22:50.417774,0.30461,0.07204,0.94975,-0.03073,0.99736,-0.06580,-0.95198,-0.00915,0.30602
14:22:50.437527,0.30587,0.07420,0.94918,-0.02769,0.99723,-0.06903,-0.95167,-0.00517,0.30708
14:22:50.461094,0.30549,0.07684,0.94909,-0.02338,0.99704,-0.07320,-0.95191,0.00017,0.30639
14:22:50.480843,0.30345,0.08148,0.94936,-0.02073,0.99667,-0.07891,-0.95262,0.00427,0.30412
